campaign_id,channel_id,campaign_name,campaign_type,spend_share,quality_factor,start_date,end_date,objective
paid_search_core,ch_paid_search,Search - Core Intent,Paid,0.45,1.1,2026-01-01,2026-06-30,pipeline
paid_search_broad,ch_paid_search,Search - Broad Match,Paid,0.55,0.58,2026-01-01,2026-06-30,pipeline
organic_seo_bottom,ch_organic,SEO - Bottom Funnel,Owned,0.55,1.24,2026-01-01,2026-06-30,pipeline
organic_content_hub,ch_organic,Content Hub,Owned,0.45,0.94,2026-01-01,2026-06-30,pipeline
referral_customer,ch_referral,Customer Referral,Earned,0.7,1.34,2026-01-01,2026-06-30,pipeline
referral_advisor,ch_referral,Advisor Referral,Earned,0.3,1.12,2026-01-01,2026-06-30,pipeline
paid_social_lead_ads,ch_paid_social,Lead Ads - Benchmark Report,Paid,0.65,0.42,2026-01-01,2026-06-30,pipeline
paid_social_retargeting,ch_paid_social,Retargeting - Product Proof,Paid,0.35,0.85,2026-01-01,2026-06-30,pipeline
events_flagship,ch_events,Industry Flagship Event,Offline,0.75,1.12,2026-01-01,2026-06-30,pipeline
events_field,ch_events,Field Dinner Series,Offline,0.25,1.22,2026-01-01,2026-06-30,pipeline
partner_cloud,ch_partner,Cloud Marketplace Co-sell,Partner,0.56,1.18,2026-01-01,2026-06-30,pipeline
partner_consulting,ch_partner,Consulting Partner Motion,Partner,0.44,1.08,2026-01-01,2026-06-30,pipeline
webinar_exec,ch_webinar,Executive Webinar,Owned,0.44,1.28,2026-01-01,2026-06-30,pipeline
webinar_ops,ch_webinar,Ops Practitioner Webinar,Owned,0.56,0.76,2026-01-01,2026-06-30,pipeline
